N'	Ka'	Kc'	N"	Ka"	Kc"	J'	J"	F'	F"	vobs	    vo-vc
1	0	1	0	0	0	0.5	0.5	3	4	15615.279	0.001
1	0	1	0	0	0	0.5	0.5	4	3	15668.825	-0.003
1	0	1	0	0	0	1.5	0.5	3	3	15685.178	-0.009
1	0	1	0	0	0	1.5	0.5	5	4	15713.816	-0.006
1	0	1	0	0	0	1.5	0.5	4	4	15726.767	0.001
1	0	1	0	0	0	1.5	0.5	2	3	15741.528	-0.004
2	0	2	1	0	1	1.5	1.5	3	4	31257.031	0.001
2	0	2	1	0	1	1.5	0.5	2	3	31298.890	-0.007
2	0	2	1	0	1	1.5	1.5	4	4	31325.428	0.010
2	0	2	1	0	1	2.5	1.5	3	2	31328.336	0.010
2	0	2	1	0	1	1.5	0.5	5	4	31333.309	0.002
2	0	2	1	0	1	2.5	1.5	4	3	31344.720	-0.004
2	0	2	1	0	1	2.5	0.5	4	4	31361.080	-0.003
2	0	2	1	0	1	1.5	0.5	3	3	31368.518	0.000
2	0	2	1	0	1	2.5	1.5	2	2	31369.500	0.003
2	0	2	1	0	1	2.5	1.5	5	4	31373.354	0.007
2	0	2	1	0	1	2.5	1.5	3	3	31384.670	-0.001
2	0	2	1	0	1	2.5	1.5	5	5	31386.288	-0.004
2	0	2	1	0	1	2.5	1.5	6	5	31390.502	-0.004
2	0	2	1	0	1	2.5	1.5	1	2	31402.730	0.006
2	0	2	1	0	1	1.5	0.5	4	3	31436.910	0.004
3	0	3	2	0	2	2.5	1.5	1	2	46922.372	0.006
3	0	3	2	0	2	2.5	1.5	4	4	46943.748	-0.002
3	0	3	2	0	2	2.5	1.5	3	3	46950.090	0.000
3	0	3	2	0	2	2.5	1.5	6	5	46950.790	0.006
3	0	3	2	0	2	3.5	2.5	5	5	46954.731	-0.003
3	0	3	2	0	2	2.5	2.5	5	4	46960.695	-0.008
3	0	3	2	0	2	3.5	2.5	4	3	46965.187	-0.008
3	0	3	2	0	2	3.5	2.5	3	2	46968.775	-0.009
3	0	3	2	0	2	3.5	2.5	6	5	46999.325	0.004
3	0	3	2	0	2	3.5	1.5	5	4	47002.664	0.000
3	0	3	2	0	2	3.5	2.5	4	4	47005.139	-0.003
3	0	3	2	0	2	3.5	2.5	3	3	47009.960	0.005
3	0	3	2	0	2	2.5	1.5	4	3	47012.146	0.008
3	0	3	2	0	2	3.5	2.5	7	6	47012.408	-0.003
4	0	4	3	0	3	3.5	2.5	7	6	62495.786	0.004
4	0	4	3	0	3	3.5	2.5	6	5	62505.077	0.001
4	0	4	3	0	3	4.5	3.5	5	4	62512.229	0.000
4	0	4	3	0	3	4.5	3.5	4	3	62519.135	0.005
4	0	4	3	0	3	3.5	2.5	5	4	62543.096	-0.003
4	0	4	3	0	3	4.5	3.5	6	5	62544.523	-0.013
4	0	4	3	0	3	4.5	3.5	7	6	62548.729	-0.004
4	0	4	3	0	3	4.5	3.5	8	7	62559.876	0.012
